Policy,Total Wasted Energy (Joule),Average Job Waiting Time (second)
300,7919918443.0,1636.6759284731775
600,8396795736.0,994.7517193947731
900,8276493111.0,979.0760660247593
1200,8570625618.0,745.0037138927098
1500,9080703735.0,578.0514442916093
1800,9504263542.0,532.4601100412655
2100,9718621799.0,506.47056396148554
2400,9885322448.0,440.38830811554334
2700,10139033721.0,406.3825309491059
3000,10489008050.0,382.57015130674
3300,10625902338.0,356.33507565337004
3600,10839940050.0,350.7235213204952
Hybrid Policy,7905069216.0,1098.8599724896837
